ts_utc,latitude,longitude,altitude,airspeed
2025-11-19 15:24:14.000 UTC,35.15603726059199,-103.89938746511936,2978.125,109.4261121289734
2025-11-19 15:24:15.000 UTC,35.1561070041731,-103.89864287093282,2974.0,110.81149182681192
2025-11-19 15:24:16.000 UTC,35.15617868760601,-103.89793920401485,2971.875,111.8278237140552
2025-11-19 15:24:17.000 UTC,35.15622848404571,-103.8973108009994,2968.875,112.4361346323551
2025-11-19 15:24:18.000 UTC,35.15631618378684,-103.896563254036,2969.5,111.60311272171712
2025-11-19 15:24:19.000 UTC,35.156379733700305,-103.89586342882365,2994.5,111.5169695155129
2025-11-19 15:24:20.000 UTC,35.156499605868014,-103.89523526927456,2996.5,110.91663423744065
2025-11-19 15:24:21.000 UTC,35.15650039538741,-103.89449845517052,3022.375,110.98372632813792
2025-11-19 15:24:22.000 UTC,35.15655399765819,-103.89380013613032,3026.0,110.30486040363618
2025-11-19 15:24:23.000 UTC,35.15666548026726,-103.89318000202998,2985.25,110.16964786962988
2025-11-19 15:24:24.000 UTC,35.15665264707059,-103.8924508437328,2988.75,109.81430767849388
2025-11-19 15:24:25.000 UTC,35.15669923983514,-103.8917662673257,2992.25,109.37336217890744
2025-11-19 15:24:26.000 UTC,35.156769971363246,-103.89109638864174,2995.375,108.87679276923882
2025-11-19 15:24:27.000 UTC,35.15683080017567,-103.8904124657996,2997.875,108.41947058961506
2025-11-19 15:24:28.000 UTC,35.1568363532424,-103.88974270200356,2999.25,108.2210219377916
2025-11-19 15:24:29.000 UTC,35.15688880411908,-103.88908900626004,3043.25,107.91509894221394
2025-11-19 15:24:30.000 UTC,35.15700734725222,-103.88849037554117,3041.875,107.77824825057716
2025-11-19 15:24:31.000 UTC,35.157004456222055,-103.88774702986704,3062.25,107.95261662465369
2025-11-19 15:24:32.000 UTC,35.15705088665709,-103.88710570905356,3058.875,108.23739753367693
2025-11-19 15:24:33.000 UTC,35.15717691952363,-103.88640133017674,3100.75,108.57412888081896
2025-11-19 15:24:34.000 UTC,35.157174485363065,-103.88572077585384,3096.375,108.83475235388272
2025-11-19 15:24:35.000 UTC,35.15724014919251,-103.88505676483736,3139.0,109.26568937416536
2025-11-19 15:24:36.000 UTC,35.157310616970065,-103.8843683265522,3134.25,109.36971279912956
2025-11-19 15:24:37.000 UTC,35.15738487532362,-103.88367168953644,3129.125,109.82467594257804
2025-11-19 15:24:38.000 UTC,35.15744283322245,-103.88305072925986,3123.25,110.57174477495572
2025-11-19 15:24:39.000 UTC,35.15755080655217,-103.88231392057612,3118.875,110.58095909874164
2025-11-19 15:24:40.000 UTC,35.157635657787324,-103.8816216436587,3114.0,110.54609487744672
2025-11-19 15:24:41.000 UTC,35.15773314423859,-103.8809938940406,3130.5,110.8639600402111
2025-11-19 15:24:42.000 UTC,35.157811438757925,-103.8802505070716,3125.5,111.10580526951009
2025-11-19 15:24:43.000 UTC,35.157912061885,-103.87955318681897,3121.0,111.5543413821806
