code,name,country,latitude,longitude
2D1,Barber Airport,US,40.97370148,-81.09870148
2D7,Beach City Airport,US,40.64680099,-81.5617981
2.00E+02,Sharpe's Strip,US,42.95529938,-82.77610016
2.00E+08,Cackleberry Airport,US,42.4231987,-83.87149811
2F6,Skiatook Municipal Airport,US,36.35910034,-96.0109024
2G8,Gorham Airport,US,44.3946991,-71.20310211
2IG4,Ed-Air Airport,US,38.85929871,-87.49990082
2IL3,McNeal's Field,US,41.51879883,-90.37940216
2IL9,Meadow Creek Airport,US,41.42919922,-87.78559875
2J0,Wakulla County Airport,US,29.99300003,-84.395401
2J9,Quincy Municipal Airport,US,30.60020065,-84.56009674
2K1,Pond Creek Municipal Airport,US,36.66540146,-97.80870056
2K2,Air Park South Airport,US,37.06290054,-93.23439789
2K8,Argonia Municipal Airport,US,37.27980042,-97.75879669
2KY5,Womstead Field,US,38.37889862,-83.1568985
2L1,Larimore Municipal Airport,US,47.9095993,-97.645401
2M1,Harry S Truman Regional Airport,US,39.01440048,-94.0904007
2OR1,Big Muddy Ranch Airport,US,44.82529831,-120.5019989
2P7,Alderman Airport,US,40.0530014,-80.96369934
2Q5,Parker Carson Airport,US,39.20040131,-119.685997
2S0,Twisp Municipal Airport,US,48.35229874,-120.098999
2S1,Vashon Municipal Airport,US,47.4612999,-122.4759979
2S5,Waterville Airport,US,47.65599823,-120.0630035
2S6,Sportsman Airpark,US,45.29859924,-122.9530029
2SC5,Ridgewood Air Airport,US,34.29100037,-82.05879974
2SD9,TC Field,US,45.45560074,-99.01010132
2TA6,Pyramid Ranch Airport,US,31.85639954,-96.19940186
2TA8,El Coyote Ranch Airport,US,26.86440086,-98.228302
2TS6,Eagle's Nest Estates Airport,US,32.51699829,-96.92710114
2TS8,Bailey Airport,US,29.22579956,-97.87439728
2TX3,La Fonda Ranch Airport,US,29.2241993,-100.6169968
2TX4,Lewis Ranch Airport,US,27.99010086,-99.37799835
2U0,Smith Prairie Airport,US,43.49599838,-115.5569992
2U4,Rockford Municipal Airport,US,43.19329834,-112.5319977
2U5,Shearer US Forest Service Airport,US,45.99209976,-114.8399963
2U7,Stanley Airport,US,44.21429825,-114.9329987
2VA9,Airlie Airport,US,38.75370026,-77.78910065
2VG2,Upperville Airport,US,38.97529984,-77.87640381
2W1,De Vere Field,US,47.1780014,-120.8570023
2W2,Clearview Airpark,US,39.46849823,-77.02010345
2WN3,Curns Airport,US,44.35770035,-88.7661972
2WN5,Murmuring Springs Airport,US,44.00719833,-90.02380371
2XA0,Foard County Airport,US,33.98329926,-99.71279907
2XS1,Harris Ranch Airport,US,30.22599983,-98.30190277
2XS2,Indio-Faith Airport,US,28.26910019,-100.1650009
2XS3,Glad Oaks Airport,US,32.02249908,-95.70279694
2XS5,Cross Triangle Ranch Airport,US,30.01440048,-98.42610168
2XS8,Benson Airstrip,US,29.23360062,-99.8259964
30GA,Elliott Field,US,34.46340179,-84.18579865
30M,Ralph M Sharpe Airport,US,34.65570068,-90.37680054
30NE,Nebraskaland Aviation Airport,US,40.35931778,-98.68579865
31VA,Aberdeen Field,US,37.01229858,-76.5911026
31WI,Sullivan Airport,US,43.00419998,-88.60939789
33C,Jablonski Airport,US,43.08179855,-86.10199738
33VT,Sky View Acres Airport,US,44.11611176,-72.56694031
34G,Merillat Airport,US,41.97389984,-83.92340088
34U,Yuba Airport,US,44.84379959,-85.4315033
35C,Wells Airport,US,43.13140106,-85.50530243
35XA,Rcade Ranch Airport,US,30.83503151,-94.94371796
36CA,Stone Land County Airport,US,36.13639832,-119.9860001
36MI,Tecumseh Mills Airport,US,42.03659821,-83.88359833
36WI,Holland Air Park,US,44.0367012,-91.29969788
37M,Hornersville Memorial Airport,US,36.04449844,-90.15070343
